tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.215854713,left_link,medium,0.128541514
0.040000,0.214271611,left_link,medium,0.128541514
0.080000,0.212836292,left_link,medium,0.128541514
0.120000,0.211561662,left_link,medium,0.128541514
0.160000,0.210369000,left_link,medium,0.128541514
0.200000,0.209143452,left_link,medium,0.128541514
0.240000,0.207797178,left_link,medium,0.128541514
0.280000,0.206322283,left_link,medium,0.128541514
0.320000,0.204785370,left_link,medium,0.128541514
0.360000,0.203292130,left_link,medium,0.128541514
0.400000,0.201946195,left_link,medium,0.128541514
0.440000,0.200806195,left_link,medium,0.128541514
0.480000,0.199859194,left_link,medium,0.128541514
0.520000,0.199039454,left_link,medium,0.128541514
0.560000,0.198266542,left_link,medium,0.128541514
0.600000,0.197486219,left_link,medium,0.128541514
0.640000,0.196712360,left_link,medium,0.128541514
0.680000,0.196045516,left_link,medium,0.128541514
0.720000,0.195628961,left_link,medium,0.128541514
0.760000,0.195578972,left_link,medium,0.128541514
0.800000,0.195912752,left_link,medium,0.128541514
0.840000,0.196476351,left_link,medium,0.128541514
0.880000,0.196929136,left_link,medium,0.128541514
0.920000,0.196880118,left_link,medium,0.128541514
0.960000,0.196089709,left_link,medium,0.128541514
1.000000,0.194677939,left_link,medium,0.128541514
