t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.90724272,-0.12476797,1.43593752,-0.01004673,1.57080007,0.90724635,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.90723324,-0.12476742,1.43593996,-0.01003898,1.57080853,0.90724635,-0.00279674,0.00016400,0.00071907,0.00228576,0.00249655,-0.00000000,-0.54094965,0.03172159,0.13908357,0.44211502,0.48288623,0.00000000
0.020000,0.90717055,-0.12476374,1.43595608,-0.00998775,1.57086448,0.90724635,-0.01046391,0.00061361,0.00269038,0.00855209,0.00934075,-0.00000000,-0.97537440,0.05719650,0.25077852,0.79716785,0.87068153,0.00000000
0.030000,0.90701116,-0.12475440,1.43599706,-0.00985748,1.57100677,0.90724635,-0.02197488,0.00128862,0.00564996,0.01795995,0.01961619,0.00000000,-1.31099679,0.07687759,0.33707039,1.07147009,1.17027952,-0.00000000
0.040000,0.90672142,-0.12473740,1.43607155,-0.00962067,1.57126541,0.90724635,-0.03638025,0.00213336,0.00935373,0.02973336,0.03247533,0.00000000,-1.55553937,0.09121770,0.39994473,1.27133332,1.38857386,0.00000000
0.050000,0.90627682,-0.12471133,1.43618587,-0.00925731,1.57166229,0.90724635,-0.05280781,0.00309668,0.01357742,0.04315952,0.04713963,0.00000000,-1.71672469,0.10066970,0.44138709,1.40306915,1.53245818,0.00000000
0.060000,0.90566118,-0.12467523,1.43634415,-0.00875415,1.57221185,0.90724635,-0.07046262,0.00413197,0.01811665,0.05758870,0.06289944,0.00000000,-1.80227531,0.10568643,0.46338301,1.47298918,1.60882613,0.00000000
0.070000,0.90486588,-0.12462859,1.43654863,-0.00810415,1.57292178,0.90724635,-0.08862695,0.00519713,0.02278687,0.07243429,0.07911408,-0.00000000,-1.81991377,0.10672076,0.46791804,1.48740499,1.62457135,0.00000000
0.080000,0.90388909,-0.12457132,1.43679978,-0.00730583,1.57379373,0.90724635,-0.10666027,0.00625462,0.02742342,0.08717282,0.09521177,0.00000000,-1.77736261,0.10422554,0.45697771,1.45262818,1.58658747,0.00000000
0.090000,0.90273499,-0.12450364,1.43709650,-0.00636259,1.57482395,0.90724635,-0.12399931,0.00727139,0.03188146,0.10134392,0.11068971,0.00000000,-1.68234440,0.09865362,0.43254758,1.37497034,1.50176814,0.00000000
0.100000,0.90141304,-0.12442612,1.43743639,-0.00528217,1.57600400,0.90724635,-0.14015801,0.00821894,0.03603603,0.11455033,0.12511400,-0.00000000,-1.54258168,0.09045785,0.39661318,1.26074308,1.37700700,0.00000000
0.110000,0.89993714,-0.12433957,1.43781586,-0.00407592,1.57732149,0.90724635,-0.15472753,0.00907331,0.03978200,0.12645792,0.13811969,-0.00000000,-1.36579700,0.08009110,0.35116007,1.11625798,1.21919770,0.00000000
0.120000,0.89832490,-0.12424503,1.43823038,-0.00275825,1.57876068,0.90724635,-0.16737628,0.00981504,0.04303412,0.13679567,0.14941077,0.00000000,-1.15971291,0.06800621,0.29817379,0.94782665,1.03523387,0.00000000
0.130000,0.89659687,-0.12414370,1.43867468,-0.00134594,1.58030322,0.90724635,-0.17784987,0.01042922,0.04572698,0.14535567,0.15876016,0.00000000,-0.93205196,0.05465605,0.23963988,0.76176067,0.83200915,0.00000000
0.140000,0.89477575,-0.12403690,1.43914290,0.00014245,1.58192887,0.90724635,-0.18597114,0.01090545,0.04781504,0.15199314,0.16600973,0.00000000,-0.69053669,0.04049346,0.17754389,0.56437164,0.61641719,0.00000000
