frame,phase,timestamp,scene_points,robot_points,plane_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_object_id,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,mean_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0,pre_empty,1785920162.061414,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,100.1672,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
1,pre_empty,1785920162.161663,0,50000,0,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,92.3743,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
2,pre_empty,1785920162.254109,2799,50000,2409,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,148.4798,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
3,pre_empty,1785920162.402647,2607,50000,2248,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.8383,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
4,pre_empty,1785920162.533530,2719,50000,2300,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.5424,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
5,pre_empty,1785920162.663119,2759,50000,2354,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,140.2394,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
6,pre_empty,1785920162.803402,2691,50000,2289,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,120.5333,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
7,pre_empty,1785920162.923967,2619,50000,2259,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.7696,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
8,pre_empty,1785920163.052769,2736,50000,2322,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.4135,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
9,pre_empty,1785920163.183213,2743,50000,2333,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,128.2798,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
10,pre_empty,1785920163.311538,2708,50000,2289,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.6752,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
11,pre_empty,1785920163.443247,2728,50000,2322,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,129.2854,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
12,pre_empty,1785920163.572577,2719,50000,2314,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.8276,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
13,pre_empty,1785920163.704435,2634,50000,2247,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,127.3872,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
14,pre_empty,1785920163.831853,2739,50000,2317,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,126.6367,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
15,pre_empty,1785920163.958523,2709,50000,2330,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,131.7363,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
16,pre_empty,1785920164.090291,2677,50000,2315,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.8314,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
17,pre_empty,1785920164.221160,2662,50000,2299,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.6514,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
18,pre_empty,1785920164.351843,2626,50000,2221,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,123.2986,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
19,pre_empty,1785920164.475178,2683,50000,2255,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,115.2799,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
20,pre_empty,1785920164.590517,2747,50000,2317,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.0978,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
21,pre_empty,1785920164.720649,2758,50000,2374,0,0,0,,,,0,,,,,,,,SAFE,SAFE,,,130.3165,0.01449971,0.00617329,1.57995534,0.00561942,1.57079637,-0.00811735
